url_length,domain_length,path_length,num_subdomains,num_dots,num_digits,num_special_chars,has_ip_address,suspicious_keyword_count,url_entropy,uses_https,encoded_char_count,redirect_marker_count,has_redirection_pattern,domain_age_days,token_count,suspicious_token_ratio,longest_token_length,unique_token_ratio,label
53,38,8,2,3,0,9,0,3,4.382935312768024,0,0,0,0,0,8,0.375,8,1.0,1
32,17,8,0,1,0,5,0,0,4.015319531114783,0,0,0,0,0,4,0.0,13,1.0,0
49,13,8,0,1,3,10,0,0,4.408191160875131,1,0,0,0,0,9,0.0,9,1.0,0
80,31,7,0,1,1,15,0,4,4.412156911958982,0,1,1,1,0,13,0.38461538461538464,9,0.8461538461538461,1
51,36,7,2,3,0,9,0,4,4.189116704878466,1,0,0,0,0,8,0.5,7,1.0,1
25,17,0,1,2,0,5,0,0,3.673269689515108,1,0,0,0,0,4,0.0,9,1.0,0
56,14,7,2,3,12,13,1,1,4.292040864021045,0,1,1,1,0,11,0.09090909090909091,6,1.0,1
82,33,7,0,1,1,15,0,3,4.350918527965467,1,1,1,1,0,13,0.23076923076923078,7,1.0,1
54,11,5,2,3,9,13,1,0,4.401866882846275,0,1,1,1,0,11,0.0,9,1.0,1
88,36,8,2,3,1,16,0,4,4.373225802667355,0,1,1,1,0,14,0.2857142857142857,8,0.9285714285714286,1
51,11,7,2,3,9,13,1,1,4.222080640900361,0,1,1,1,0,11,0.09090909090909091,6,1.0,1
60,14,8,2,3,12,13,1,0,4.323606538926003,0,1,1,1,0,11,0.0,8,1.0,1
86,35,7,2,3,1,16,0,4,4.33317591193676,0,1,1,1,0,14,0.35714285714285715,7,0.8571428571428571,1
61,17,16,0,1,3,11,0,0,4.523385346874945,1,0,0,0,0,10,0.0,13,1.0,0
53,38,8,2,3,0,9,0,3,4.277093039665441,0,0,0,0,0,8,0.375,8,1.0,1
74,27,7,0,1,3,14,0,3,4.4506131966948,1,1,1,1,0,12,0.25,8,1.0,1
44,17,0,0,1,3,9,0,0,4.663532754804254,0,0,0,0,0,8,0.0,13,1.0,0
57,13,16,0,1,3,11,0,0,4.453430532005254,1,0,0,0,0,10,0.0,9,1.0,0
50,17,5,0,1,3,10,0,0,4.578171939471839,1,0,0,0,0,9,0.0,13,1.0,0
95,38,8,2,3,1,16,0,3,4.381714790976183,1,1,1,1,0,14,0.21428571428571427,9,1.0,1
40,25,7,0,1,2,7,0,2,4.377567157116928,1,0,0,0,0,6,0.3333333333333333,7,1.0,1
83,35,7,0,1,1,15,0,3,4.368482529381518,0,1,1,1,0,13,0.38461538461538464,9,0.7692307692307693,1
50,17,25,0,1,0,7,0,0,4.225979129983102,1,0,0,0,0,6,0.0,13,1.0,0
58,14,7,2,3,12,13,1,1,4.4816615121017565,0,1,1,1,0,11,0.09090909090909091,8,1.0,1
38,17,13,0,1,0,6,0,0,4.208196592277087,1,0,0,0,0,5,0.0,13,1.0,0
32,17,8,0,1,0,5,0,0,3.9834585933443494,0,0,0,0,0,4,0.0,13,1.0,0
58,14,8,2,3,12,13,1,0,4.425496386606637,0,1,1,1,0,11,0.0,7,1.0,1
25,13,5,0,1,0,5,0,0,3.5932696895151075,0,0,0,0,0,4,0.0,9,1.0,0
53,38,8,2,3,0,9,0,3,4.199737087399218,0,0,0,0,0,8,0.375,8,1.0,1
43,17,18,0,1,0,6,0,1,4.266397243517744,1,0,0,0,0,5,0.0,13,1.0,0
27,13,6,0,1,0,5,0,0,3.7639657428240816,1,0,0,0,0,4,0.0,9,1.0,0
78,29,8,0,1,3,14,0,2,4.528947790398381,0,1,1,1,0,12,0.16666666666666666,9,0.9166666666666666,1
61,17,16,0,1,3,11,0,0,4.616983804982267,1,0,0,0,0,10,0.0,13,1.0,0
46,13,5,0,1,3,10,0,0,4.571943749300114,1,0,0,0,0,9,0.0,9,1.0,0
84,33,5,0,1,1,15,0,3,4.371161347647087,0,1,1,1,0,13,0.3076923076923077,8,0.8461538461538461,1
45,30,8,0,1,2,7,0,2,4.333209418831506,0,0,0,0,0,6,0.3333333333333333,7,1.0,1
80,33,5,0,1,1,15,0,4,4.381341168447342,0,1,1,1,0,13,0.3076923076923077,9,0.8461538461538461,1
84,33,8,0,1,1,15,0,5,4.292719841482092,0,1,1,1,0,13,0.38461538461538464,8,0.9230769230769231,1
40,17,16,0,1,0,6,0,1,4.077567157116928,0,0,0,0,0,5,0.0,13,1.0,0
52,13,7,2,3,11,13,1,1,4.374177320667444,0,1,1,1,0,11,0.09090909090909091,6,1.0,1
57,15,5,2,3,13,13,1,0,4.383289659168639,0,1,1,1,0,11,0.0,8,1.0,1
54,40,7,0,1,0,8,0,4,4.2130656324193705,0,0,0,0,0,7,0.5714285714285714,8,1.0,1
50,17,10,0,1,2,9,0,0,4.5932696895151075,0,0,0,0,0,8,0.0,13,1.0,0
53,17,8,0,1,3,10,0,1,4.675572577000606,1,0,0,0,0,9,0.0,13,1.0,0
45,30,7,0,1,0,8,0,4,4.161313030086848,1,0,0,0,0,7,0.5714285714285714,8,1.0,1
55,17,14,0,1,3,10,0,0,4.509102105323984,0,0,0,0,0,9,0.0,13,1.0,0
81,33,8,0,1,1,15,0,4,4.438691268099707,0,1,1,1,0,13,0.3076923076923077,8,0.9230769230769231,1
