url_length,domain_length,path_length,num_subdomains,num_dots,num_digits,num_special_chars,has_ip_address,suspicious_keyword_count,url_entropy,uses_https,encoded_char_count,redirect_marker_count,has_redirection_pattern,domain_age_days,token_count,suspicious_token_ratio,longest_token_length,unique_token_ratio,label
45,14,24,0,1,0,7,0,0,4.169987686210474,0,0,0,0,0,6,0.0,10,1.0,0
37,10,0,0,1,3,9,0,0,4.344588500764087,0,0,0,0,0,8,0.0,6,1.0,0
48,11,10,0,1,2,11,0,0,4.371115365169273,1,0,0,0,0,10,0.0,7,1.0,0
40,25,8,0,1,2,7,0,2,4.096439344671015,0,0,0,0,0,6,0.3333333333333333,9,1.0,1
80,32,5,0,1,1,15,0,3,4.4535556307645345,0,1,1,1,0,13,0.23076923076923078,9,0.9230769230769231,1
42,10,5,0,1,2,10,0,0,4.386015934528989,1,0,0,0,0,9,0.0,6,1.0,0
52,36,8,2,3,0,9,0,3,4.2287219294299225,1,0,0,0,0,8,0.375,7,1.0,1
42,14,0,0,1,3,9,0,0,4.528873077386132,1,0,0,0,0,8,0.0,10,1.0,0
54,38,8,2,3,0,9,0,4,4.21796678994697,1,0,0,0,0,8,0.5,9,1.0,1
26,10,8,0,1,0,5,0,1,3.796217602590055,1,0,0,0,0,4,0.0,7,1.0,0
95,38,8,0,1,1,15,0,3,4.470580354710772,1,1,1,1,0,13,0.23076923076923078,8,1.0,1
91,37,8,0,1,1,15,0,4,4.35615524050083,0,1,1,1,0,13,0.3076923076923077,8,0.9230769230769231,1
46,11,8,0,1,3,10,0,1,4.49564429268431,0,0,0,0,0,9,0.0,7,1.0,0
26,10,8,0,1,0,5,0,0,3.902174814211728,1,0,0,0,0,4,0.0,7,1.0,0
44,29,7,0,1,2,7,0,2,4.680689288944333,1,0,0,0,0,6,0.3333333333333333,8,1.0,1
35,10,17,0,1,0,6,0,1,3.7830140032660013,1,0,0,0,0,5,0.0,8,1.0,0
57,13,7,2,3,11,13,1,1,4.433378522844338,0,1,1,1,0,11,0.09090909090909091,8,1.0,1
41,26,8,0,1,2,7,0,2,4.363530358223853,0,0,0,0,0,6,0.3333333333333333,8,1.0,1
57,14,8,2,3,12,13,1,0,4.467926423387795,0,1,1,1,0,11,0.0,7,1.0,1
83,33,7,0,1,1,15,0,3,4.330366595841312,0,1,1,1,0,13,0.3076923076923077,8,0.8461538461538461,1
50,14,5,2,3,12,13,1,0,4.168833991324551,0,1,1,1,0,11,0.0,5,1.0,1
60,15,7,2,3,13,13,1,1,4.547360091144753,0,1,1,1,0,11,0.09090909090909091,8,1.0,1
41,26,7,0,1,2,7,0,2,4.287447053863761,1,0,0,0,0,6,0.3333333333333333,7,1.0,1
51,11,16,0,1,2,10,0,1,4.313911371086315,1,0,0,0,0,9,0.0,7,1.0,0
50,11,11,0,1,3,11,0,0,4.383465189601646,1,0,0,0,0,10,0.0,7,1.0,0
47,10,13,0,1,2,10,0,0,4.442574755794864,1,0,0,0,0,9,0.0,7,1.0,0
47,10,9,0,1,3,10,0,0,4.5381114578304595,1,0,0,0,0,9,0.0,8,1.0,0
35,10,0,0,1,3,8,0,0,4.25057194545458,1,0,0,0,0,7,0.0,6,1.0,0
90,35,7,2,3,1,16,0,4,4.074950043309211,0,1,1,1,0,14,0.35714285714285715,8,0.8571428571428571,1
55,14,14,0,1,2,11,0,0,4.544285167755427,1,0,0,0,0,10,0.0,10,1.0,0
49,11,14,0,1,3,10,0,0,4.558088670425059,0,0,0,0,0,9,0.0,8,1.0,0
46,33,5,0,1,0,8,0,2,4.189125478116704,1,0,0,0,0,7,0.2857142857142857,8,1.0,1
36,13,15,0,1,0,7,0,0,3.951194363083222,1,0,0,0,0,6,0.0,9,0.8333333333333334,0
56,11,8,2,3,9,13,1,0,4.718328827144265,0,1,1,1,0,11,0.0,8,1.0,1
21,14,0,0,1,0,4,0,0,3.916126946588283,0,0,0,0,0,3,0.0,10,1.0,0
89,36,8,0,1,1,15,0,2,4.308119536204835,0,1,1,1,0,13,0.15384615384615385,9,0.6923076923076923,1
47,10,13,0,1,3,10,0,0,4.392265649909751,0,0,0,0,0,9,0.0,7,1.0,0
92,38,7,2,3,1,16,0,3,4.4130373313227045,0,1,1,1,0,14,0.2857142857142857,9,0.8571428571428571,1
76,28,8,0,1,3,14,0,2,4.5925784941188885,1,1,1,1,0,12,0.25,8,0.9166666666666666,1
39,14,0,0,1,3,8,0,0,4.50938523151634,1,0,0,0,0,7,0.0,10,1.0,0
